GEOID,CITY,STATE_ABBR,CBSA_CODE,CBSA_TITLE,S2201_C04_001E,S2201_C04_001M,REL_MOE_PCT,NAME
0203000,Anchorage,AK,11260,"Anchorage, AK",8.7,1.8,20.689655172413797,"Anchorage municipality, Alaska"
0103076,Auburn,AL,12220,"Auburn-Opelika, AL",3.1,1.7,54.83870967741935,"Auburn city, Alabama"
0107000,Birmingham,AL,13820,"Birmingham, AL",19.2,2.2,11.458333333333334,"Birmingham city, Alabama"
0121184,Dothan,AL,20020,"Dothan, AL",17.0,2.5,14.705882352941178,"Dothan city, Alabama"
0137000,Huntsville,AL,26620,"Huntsville, AL",8.5,2.2,25.882352941176475,"Huntsville city, Alabama"
0150000,Mobile,AL,33660,"Mobile, AL",17.8,2.7,15.168539325842698,"Mobile city, Alabama"
0151000,Montgomery,AL,33860,"Montgomery, AL",19.1,3.0,15.706806282722512,"Montgomery city, Alabama"
0177256,Tuscaloosa,AL,46220,"Tuscaloosa, AL",10.3,3.9,37.864077669902905,"Tuscaloosa city, Alabama"
0515190,Conway,AR,30780,"Little Rock-North Little Rock-Conway, AR",8.7,3.5,40.229885057471265,"Conway city, Arkansas"
0523290,Fayetteville,AR,22220,"Fayetteville-Springdale-Rogers, AR",3.9,2.3,58.97435897435898,"Fayetteville city, Arkansas"
0524550,Fort Smith,AR,22900,"Fort Smith, AR-OK",11.7,3.3,28.205128205128204,"Fort Smith city, Arkansas"
0535710,Jonesboro,AR,27860,"Jonesboro, AR",12.9,3.7,28.68217054263566,"Jonesboro city, Arkansas"
0541000,Little Rock,AR,30780,"Little Rock-North Little Rock-Conway, AR",5.8,1.8,31.03448275862069,"Little Rock city, Arkansas"
0560410,Rogers,AR,22220,"Fayetteville-Springdale-Rogers, AR",3.0,1.6,53.333333333333336,"Rogers city, Arkansas"
0566080,Springdale,AR,22220,"Fayetteville-Springdale-Rogers, AR",5.8,2.4,41.37931034482759,"Springdale city, Arkansas"
0410530,Casa Grande,AZ,38060,"Phoenix-Mesa-Chandler, AZ",14.1,4.7,33.333333333333336,"Casa Grande city, Arizona"
0412000,Chandler,AZ,38060,"Phoenix-Mesa-Chandler, AZ",6.4,1.8,28.125,"Chandler city, Arizona"
0423620,Flagstaff,AZ,22380,"Flagstaff, AZ",5.1,2.4,47.05882352941176,"Flagstaff city, Arizona"
0427400,Gilbert,AZ,38060,"Phoenix-Mesa-Chandler, AZ",3.0,1.0,33.33333333333333,"Gilbert town, Arizona"
0446000,Mesa,AZ,38060,"Phoenix-Mesa-Chandler, AZ",7.3,1.0,13.698630136986301,"Mesa city, Arizona"
0455000,Phoenix,AZ,38060,"Phoenix-Mesa-Chandler, AZ",11.7,0.7,5.982905982905983,"Phoenix city, Arizona"
0465000,Scottsdale,AZ,38060,"Phoenix-Mesa-Chandler, AZ",2.9,1.0,34.48275862068966,"Scottsdale city, Arizona"
0473000,Tempe,AZ,38060,"Phoenix-Mesa-Chandler, AZ",5.6,1.9,33.92857142857143,"Tempe city, Arizona"
0477000,Tucson,AZ,46060,"Tucson, AZ",15.1,1.6,10.596026490066226,"Tucson city, Arizona"
0485540,Yuma,AZ,49740,"Yuma, AZ",18.5,4.7,25.405405405405407,"Yuma city, Arizona"
0602000,Anaheim,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",14.5,2.3,15.86206896551724,"Anaheim city, California"
0603526,Bakersfield,CA,12540,"Bakersfield-Delano, CA",18.1,1.9,10.497237569060772,"Bakersfield city, California"
0606000,Berkeley,CA,41860,"San Francisco-Oakland-Fremont, CA",11.5,2.6,22.608695652173914,"Berkeley city, California"
0608954,Burbank,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15.7,3.6,22.929936305732486,"Burbank city, California"
0610046,Camarillo,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",5.1,2.6,50.980392156862756,"Camarillo city, California"
0611194,Carlsbad,CA,41740,"San Diego-Chula Vista-Carlsbad, CA",3.9,1.6,41.02564102564103,"Carlsbad city, California"
0611530,Carson,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",14.1,3.3,23.404255319148938,"Carson city, California"
0613014,Chico,CA,17020,"Chico, CA",14.9,2.7,18.120805369127517,"Chico city, California"
0613210,Chino,CA,40140,"Riverside-San Bernardino-Ontario, CA",13.5,4.1,30.37037037037037,"Chino city, California"
0613392,Chula Vista,CA,41740,"San Diego-Chula Vista-Carlsbad, CA",13.3,2.0,15.037593984962406,"Chula Vista city, California"
0616350,Corona,CA,40140,"Riverside-San Bernardino-Ontario, CA",10.0,2.5,25.0,"Corona city, California"
0616532,Costa Mesa,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",9.3,3.3,35.48387096774193,"Costa Mesa city, California"
0624638,Folsom,CA,40900,"Sacramento-Roseville-Folsom, CA",5.1,2.5,49.01960784313726,"Folsom city, California"
0626000,Fremont,CA,41860,"San Francisco-Oakland-Fremont, CA",5.7,1.3,22.807017543859647,"Fremont city, California"
0627000,Fresno,CA,23420,"Fresno, CA",27.9,2.3,8.24372759856631,"Fresno city, California"
0630000,Glendale,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",21.7,3.6,16.589861751152075,"Glendale city, California"
0636770,Irvine,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",5.6,1.7,30.35714285714286,"Irvine city, California"
0641992,Livermore,CA,41860,"San Francisco-Oakland-Fremont, CA",8.3,3.1,37.34939759036144,"Livermore city, California"
0642202,Lodi,CA,44700,"Stockton-Lodi, CA",12.0,4.2,35.0,"Lodi city, California"
0643000,Long Beach,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",14.9,1.7,11.40939597315436,"Long Beach city, California"
0644000,Los Angeles,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17.0,0.6,3.5294117647058822,"Los Angeles city, California"
0646898,Merced,CA,32900,"Merced, CA",32.9,5.4,16.41337386018237,"Merced city, California"
0647766,Milpitas,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",9.6,3.5,36.458333333333336,"Milpitas city, California"
0648354,Modesto,CA,33700,"Modesto, CA",18.7,2.8,14.973262032085561,"Modesto city, California"
0649670,Mountain View,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",4.8,1.8,37.5,"Mountain View city, California"
0650258,Napa,CA,34900,"Napa, CA",6.4,3.3,51.562499999999986,"Napa city, California"
0651182,Newport Beach,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",4.2,2.2,52.38095238095239,"Newport Beach city, California"
0653000,Oakland,CA,41860,"San Francisco-Oakland-Fremont, CA",15.3,1.8,11.76470588235294,"Oakland city, California"
0653896,Ontario,CA,40140,"Riverside-San Bernardino-Ontario, CA",12.3,2.8,22.76422764227642,"Ontario city, California"
0653980,Orange,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",9.9,2.7,27.272727272727277,"Orange city, California"
0654652,Oxnard,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",17.0,2.8,16.470588235294116,"Oxnard city, California"
0655282,Palo Alto,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",2.4,2.1,87.50000000000001,"Palo Alto city, California"
0656000,Pasadena,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",10.8,2.2,20.370370370370374,"Pasadena city, California"
0657792,Pleasanton,CA,41860,"San Francisco-Oakland-Fremont, CA",4.3,2.5,58.139534883720934,"Pleasanton city, California"
0659444,Rancho Cordova,CA,40900,"Sacramento-Roseville-Folsom, CA",18.4,4.1,22.282608695652172,"Rancho Cordova city, California"
0659920,Redding,CA,39820,"Redding, CA",14.9,3.5,23.48993288590604,"Redding city, California"
0659962,Redlands,CA,40140,"Riverside-San Bernardino-Ontario, CA",11.9,4.3,36.134453781512605,"Redlands city, California"
0660102,Redwood City,CA,41860,"San Francisco-Oakland-Fremont, CA",5.9,2.7,45.76271186440678,"Redwood City city, California"
0662000,Riverside,CA,40140,"Riverside-San Bernardino-Ontario, CA",12.2,2.0,16.393442622950822,"Riverside city, California"
