CITY,STATE_ABBR,GEOID
Aguadilla,PR,7200745
Albany,OR,4101000
Troy,NY,3675484
Alexandria,LA,2200975
Altoona,PA,4202184
Amherst Town,MA,2501370
Northampton,MA,2546330
Anniston,AL,0101852
Oxford,AL,0157576
Arecibo,PR,7203368
Dunwoody,GA,1324768
Marietta,GA,1349756
Atlantic City,NJ,3402080
Hammonton,NJ,3429430
Opelika,AL,0157048
Delano,CA,0618394
Towson,MD,2478425
Bangor,ME,2302795
Barnstable Town,MA,2503690
Battle Creek,MI,2605920
Bay City,MI,2606020
Port Arthur,TX,4858820
Beckley,WV,5405332
Binghamton,NY,3606607
Blacksburg,VA,5107784
Christiansburg,VA,5116608
Radford,VA,5165392
Bozeman,MT,3008950
Bremerton,WA,5307695
Port Orchard,WA,5355785
Silverdale,WA,4270744
Brunswick,GA,1311560
St. Simons,GA,1368040
Burlington,NC,3709060
Burlington,VT,5010675
South Burlington,VT,5066175
Massillon,OH,3948244
Cape Girardeau,MO,2911242
Carson City,NV,3209700
Casper,WY,5613150
Chambersburg,PA,4212536
Urbana,IL,1777005
Charleston,WV,5414600
Mooresville,NC,3744220
Charlottesville,VA,5114968
Des Plaines,IL,1719642
Downers Grove,IL,1720591
Cleveland,TN,4715400
Coeur d'Alene,ID,1616750
Columbus,IN,1814734
Corvallis,OR,4115800
Crestview,FL,1215475
Destin,FL,1217325
Fort Walton Beach,FL,1224475
Grapevine,TX,4830644
Dalton,GA,1321380
Daphne,AL,0119648
Fairhope,AL,0125240
Foley,AL,0126992
Gulf Shores,AL,0132272
Moline,IL,1749867
Rock Island,IL,1765078
Beavercreek,OH,3904720
Kettering,OH,3940040
Decatur,AL,0120104
DeLand,FL,1216875
Ormond Beach,FL,1253150
Pontiac,MI,2665440
Dover,DE,1021200
Dubuque,IA,1922395
Chapel Hill,NC,3711800
Eagle Pass,TX,4821892
El Centro,CA,0621782
Elizabethtown,KY,2124274
Elkhart,IN,1820728
Goshen,IN,1828386
Elmira,NY,3624229
Enid,OK,4023950
Springfield,OR,4169600
College,AK,0216750
Fairbanks,AK,0224230
Farmington,NM,3525800
Bentonville,AR,0505320
Florence,SC,4525810
Florence,AL,0126896
Muscle Shoals,AL,0153016
